red_fighter_name,blue_fighter_name,winner,winner_encoded
Lone'er Kavanagh,Jose Ochoa,Red,1
Xiao Long,Quang Le,Red,1
Maheshate,Nikolas Motta,Blue,0
Jon Jones,Stipe Miocic,Red,1
Charles Oliveira,Michael Chandler,Red,1
Bo Nickal,Paul Craig,Red,1
Viviane Araujo,Karine Silva,Red,1
Mauricio Ruffy,James Llontop,Red,1
Jonathan Martinez,Marcus McGhee,Blue,0
Jim Miller,Damon Jackson,Red,1
David Onama,Roberto Romero,Red,1
Marcin Tybura,Jhonata Diniz,Red,1
Mickey Gall,Ramiz Brahimaj,Blue,0
Bassil Hafez,Oban Elliott,Blue,0
Veronica Hardy,Eduarda Moura,Blue,0
Neil Magny,Carlos Prates,Blue,0
Gerald Meerschaert,Reinier de Ridder,Blue,0
Gaston Bolanos,Cortavious Romious,Red,1
Luana Pinheiro,Gillian Robertson,Blue,0
Mansur Abdul-Malik,Dusko Todorovic,Red,1
Karolina Kowalkiewicz,Denise Gomes,Blue,0
Elizeu Zaleski dos Santos,Zachary Scroggin,Red,1
Matthew Semelsberger,Charles Radtke,Blue,0
Cody Stamann,Da'Mon Blackshear,Blue,0
Tresean Gore,Antonio Trocoli,Red,1
Melissa Mullins,Klaudia Sygula,Red,1
Brandon Moreno,Amir Albazi,Red,1
Erin Blanchfield,Rose Namajunas,Red,1
Caio Machado,Brendson Ribeiro,Blue,0
Ariane da Silva,Jasmine Jasudavicius,Blue,0
Marc-Andre Barriault,Dustin Stoltzfus,Blue,0
Mike Malott,Trevin Giles,Red,1
Aiemann Zahabi,Pedro Munhoz,Red,1
Charles Jourdain,Victor Henry,Red,1
Jack Shore,Youssef Zalal,Blue,0
Alexandr Romanov,Rodrigo Nascimento,Red,1
Serhiy Sidey,Garrett Armfield,Red,1
Chad Anheliger,Cody Gibson,Blue,0
Jamey-Lyn Horth,Ivana Petrovic,Red,1
Ilia Topuria,Max Holloway,Red,1
Robert Whittaker,Khamzat Chimaev,Blue,0
Magomed Ankalaev,Aleksandar Rakic,Red,1
Lerone Murphy,Dan Ige,Red,1
Shara Magomedov,Armen Petrosyan,Red,1
Ibo Aslan,Rafael Cerqueira,Red,1
Geoff Neal,Rafael Dos Anjos,Red,1
Mateusz Rebecki,Myktybek Orolbai,Red,1
Abus Magomedov,Brunno Ferreira,Red,1
Kennedy Nzechukwu,Chris Barnett,Red,1
Farid Basharat,Victor Hugo,Red,1
Ismail Naurdiev,Bruno Silva,Red,1
Rinat Fakhretdinov,Carlos Leal,Red,1
Anthony Hernandez,Michel Pereira,Red,1
Rob Font,Kyler Phillips,Red,1
Charles Johnson,Sumudaerji,Red,1
Jake Hadley,Cameron Smotherman,Blue,0
Darren Elkins,Daniel Pineda,Red,1
Matheus Nicolau,Asu Almabayev,Blue,0
Brad Katona,Jean Matsumoto,Blue,0
Joselyne Edwards,Tamires Vidal,Red,1
Jessica Penne,Elise Reed,Blue,0
Melissa Martinez,Alice Ardelean,Red,1
Austen Lane,Robelis Despaigne,Red,1
Brandon Royval,Tatsuro Taira,Red,1
Brad Tavares,JunYong Park,Blue,0
Chidi Njokuani,Jared Gooden,Red,1
Grant Dawson,Rafa Garcia,Red,1
Daniel Rodriguez,Alex Morono,Red,1
CJ Vergara,Ramazan Temirov,Blue,0
Jonathan Pearce,Pat Sabatini,Blue,0
Themba Gorimbo,Niko Price,Red,1
Junior Tafa,Sean Sharaf,Red,1
Julia Polastri,Cory McKenna,Red,1
Dan Argueta,Cody Haddon,Blue,0
Clayton Carpenter,Lucas Rocha,Red,1
Alex Pereira,Khalil Rountree Jr.,Red,1
Raquel Pennington,Julianna Pena,Blue,0
Jose Aldo,Mario Bautista,Blue,0
Roman Dolidze,Kevin Holland,Red,1
Ketlen Vieira,Kayla Harrison,Blue,0
Stephen Thompson,Joaquin Buckley,Blue,0
Marina Rodriguez,Iasmin Lucindo,Blue,0
Austin Hubbard,Alexander Hernandez,Blue,0
Cesar Almeida,Ihor Potieria,Red,1
Ryan Spann,Ovince Saint Preux,Red,1
Carla Esparza,Tecia Pennington,Blue,0
Court McGee,Tim Means,Red,1
Renato Moicano,Benoit Saint Denis,Red,1
Nassourdine Imavov,Brendan Allen,Red,1
William Gomis,Joanderson Brito,Red,1
Kevin Jousset,Bryan Battle,Blue,0
Morgan Charriere,Gabriel Miranda,Red,1
Fares Ziam,Matt Frevola,Red,1
Ion Cutelaba,Ivan Erslan,Red,1
Oumar Sy,Da Woon Jung,Red,1
Ludovit Klein,Roosevelt Roberts,Red,1
Taylor Lapilus,Vince Morales,Red,1
Ailin Perez,Daria Zhelezniakova,Red,1
Daniel Barez,Victor Altamirano,Red,1
Nora Cornolle,Jacqueline Cavalcanti,Blue,0
Bolaji Oki,Chris Duncan,Blue,0
Sean O'Malley,Merab Dvalishvili,Blue,0
Alexa Grasso,Valentina Shevchenko,Blue,0
Brian Ortega,Diego Lopes,Blue,0
Daniel Zellhuber,Esteban Ribovics,Blue,0
Ronaldo Rodriguez,Ode Osbourne,Red,1
Irene Aldana,Norma Dumont,Blue,0
Manuel Torres,Ignacio Bahamondes,Blue,0
Yazmin Jauregui,Ketlen Souza,Blue,0
Edgar Chairez,Joshua Van,Blue,0
Raul Rosas Jr.,Aoriqileng,Red,1
Gilbert Burns,Sean Brady,Blue,0
Jessica Andrade,Natalia Silva,Blue,0
Steve Garcia,Kyle Nelson,Red,1
Matt Schnell,Cody Durden,Blue,0
Trevor Peek,Yanal Ashmouz,Blue,0
Rongzhu,Chris Padilla,Blue,0
Isaac Dulgarian,Brendon Marotte,Red,1
Felipe dos Santos,Andre Lima,Blue,0
Yizha,Gabriel Santos,Blue,0
Jaqueline Amorim,Vanessa Demopoulos,Red,1
Andre Petroski,Dylan Budka,Red,1
Zygimantas Ramaska,Nathan Fletcher,Blue,0
Jared Cannonier,Caio Borralho,Blue,0
Angela Hill,Tabatha Ricci,Blue,0
Robert Valentin,Ryan Loder,Blue,0
Kaan Ofli,Mairon Santos,Blue,0
Neil Magny,Michael Morales,Blue,0
Edmen Shahbazyan,Gerald Meerschaert,Blue,0
Dennis Buzukja,Francis Marshall,Blue,0
Zachary Reese,Jose Daniel Medina,Red,1
Viacheslav Borshchev,James Llontop,Red,1
Jacqueline Cavalcanti,Josiane Nunes,Red,1
Wang Cong,Victoria Leonardo,Red,1
Dricus Du Plessis,Israel Adesanya,Red,1
Kai Kara-France,Steve Erceg,Red,1
Mateusz Gamrot,Dan Hooker,Blue,0
Tai Tuivasa,Jairzinho Rozenstruik,Blue,0
Li Jingliang,Carlos Prates,Blue,0
Junior Tafa,Valter Walker,Blue,0
Josh Culibao,Ricardo Ramos,Blue,0
Casey O'Neill,Luana Santos,Red,1
Jack Jenkins,Herbert Burns,Red,1
Tom Nolan,Alex Reyes,Red,1
Song Kenan,Ricky Glenn,Red,1
Stewart Nicoll,Jesus Aguilar,Blue,0
Marcin Tybura,Serghei Spivac,Blue,0
Damon Jackson,Chepe Mariscal,Blue,0
Danny Barlow,Nikolay Veretennikov,Red,1
Chris Gutierrez,Quang Le,Red,1
