red_fighter_name,blue_fighter_name,winner,winner_encoded
Mike Brown,Daniel Pineda,Red,1
Chan Sung Jung,Dustin Poirier,Red,1
Amir Sadollah,Jorge Lopez,Red,1
Donald Cerrone,Jeremy Stephens,Red,1
Yves Jabouin,Jeff Hougland,Red,1
Igor Pokrajac,Fabio Maldonado,Red,1
Jason MacDonald,Tom Lawlor,Blue,0
Brad Tavares,Dongi Yang,Red,1
Cody McKenzie,Marcus LeVesseur,Red,1
TJ Grant,Carlo Prater,Red,1
Rafael Dos Anjos,Kamal Shalorus,Red,1
Jeff Curran,Johnny Eduardo,Blue,0
Alex Soto,Francisco Rivera,Blue,0
Nate Diaz,Jim Miller,Red,1
Josh Koscheck,Johny Hendricks,Blue,0
Rousimar Palhares,Alan Belcher,Blue,0
Pat Barry,Lavar Johnson,Blue,0
Tony Ferguson,Michael Johnson,Blue,0
John Dodson,Tim Elliott,Red,1
John Hathaway,Pascal Krauss,Red,1
Louis Gaudinot,John Lineker,Red,1
Danny Castillo,John Cholish,Red,1
Dennis Bermudez,Pablo Garza,Red,1
Roland Delorme,Nick Denis,Red,1
Mike Massenzio,Karlos Vemola,Blue,0
Jon Jones,Rashad Evans,Red,1
Rory MacDonald,Che Mills,Red,1
Brendan Schaub,Ben Rothwell,Blue,0
Miguel Torres,Michael McDonald,Blue,0
Mark Hominick,Eddie Yagin,Blue,0
Mark Bocek,John Alessio,Red,1
Travis Browne,Chad Griggs,Red,1
Matt Brown,Stephen Thompson,Red,1
John Makdessi,Anthony Njokuani,Blue,0
Mac Danzig,Efrain Escudero,Red,1
Keith Wisniewski,Chris Clements,Blue,0
Marcus Brimage,Maximo Blanco,Red,1
Alexander Gustafsson,Thiago Silva,Red,1
Brian Stann,Alessio Sakara,Red,1
Paulo Thiago,Siyar Bahadurzada,Blue,0
Dennis Siver,Diego Nunes,Red,1
DaMarques Johnson,John Maguire,Blue,0
Brad Pickett,Damacio Page,Red,1
Papy Abedi,James Head,Blue,0
Cyrille Diabate,Tom DeBlass,Red,1
Francis Carmont,Magnus Cedenblad,Red,1
Reza Madadi,Yoislandy Izquierdo,Red,1
Simeon Thoresen,Besam Yousef,Red,1
Jason Young,Eric Wisely,Red,1
Thiago Alves,Martin Kampmann,Blue,0
Joseph Benavidez,Yasuhiro Urushitani,Red,1
Court McGee,Constantinos Philippou,Blue,0
James Te Huna,Aaron Rosa,Red,1
Anthony Perosh,Nick Penner,Red,1
Cole Miller,Steven Siler,Blue,0
Kyle Noke,Andrew Craig,Blue,0
TJ Waldburger,Jake Hecht,Red,1
Mackens Semerzier,Daniel Pineda,Blue,0
Oli Thompson,Shawn Jordan,Blue,0
Frankie Edgar,Benson Henderson,Blue,0
Quinton Jackson,Ryan Bader,Blue,0
Mark Hunt,Cheick Kongo,Red,1
Yoshihiro Akiyama,Jake Shields,Blue,0
Yushin Okami,Tim Boetsch,Blue,0
Hatsu Hioki,Bart Palaszewski,Red,1
Anthony Pettis,Joe Lauzon,Red,1
Takanori Gomi,Eiji Mitsuoka,Red,1
Norifumi Yamamoto,Vaughan Lee,Blue,0
Riki Fukuda,Steve Cantwell,Red,1
Takeya Mizugaki,Chris Cariaso,Blue,0
Zhang Tiequan,Issei Tamura,Blue,0
Diego Sanchez,Jake Ellenberger,Blue,0
Stefan Struve,Dave Herman,Red,1
Aaron Simpson,Ronny Markes,Blue,0
Stipe Miocic,Philip De Fries,Red,1
TJ Dillashaw,Walel Watson,Red,1
Ivan Menjivar,John Albert,Red,1
Jonathan Brookins,Vagner Rocha,Red,1
Anton Kuivanen,Justin Salas,Blue,0
Tim Means,Bernardo Magalhaes,Red,1
Nick Diaz,Carlos Condit,Blue,0
Roy Nelson,Fabricio Werdum,Blue,0
Josh Koscheck,Mike Pierce,Red,1
Renan Barao,Scott Jorgensen,Red,1
Ed Herman,Clifford Starks,Red,1
Dustin Poirier,Max Holloway,Red,1
Alex Caceres,Edwin Figueroa,Blue,0
Matt Brown,Chris Cope,Red,1
Matthew Riddle,Henry Martinez,Red,1
Rafael Natal,Michael Kuiper,Red,1
Dan Stittgen,Stephen Thompson,Blue,0
Rashad Evans,Phil Davis,Red,1
Chael Sonnen,Michael Bisping,Red,1
Demian Maia,Chris Weidman,Blue,0
Evan Dunham,Nik Lentz,Red,1
Mike Russow,Jon Olav Einemo,Red,1
Cub Swanson,George Roop,Red,1
Charles Oliveira,Eric Wisely,Red,1
Michael Johnson,Shane Roller,Red,1
Joey Beltran,Lavar Johnson,Blue,0
Chris Camozzi,Dustin Jacoby,Red,1
Melvin Guillard,Jim Miller,Blue,0
Duane Ludwig,Josh Neer,Blue,0
Mike Easton,Jared Papazian,Red,1
Pat Barry,Christian Morecraft,Red,1
Jorge Rivera,Eric Schafer,Red,1
Kamal Shalorus,Khabib Nurmagomedov,Blue,0
Charlie Brenneman,Daniel Roberts,Red,1
Fabricio Camoes,Tommy Hayden,Red,1
Daniel Pineda,Pat Schilling,Red,1
Joseph Sandoval,Nick Denis,Blue,0
Jose Aldo,Chad Mendes,Red,1
Vitor Belfort,Anthony Johnson,Red,1
Rousimar Palhares,Mike Massenzio,Red,1
Erick Silva,Carlo Prater,Blue,0
Edson Barboza,Terry Etim,Red,1
Thiago Tavares,Sam Stout,Red,1
Gabriel Gonzaga,Ednaldo Oliveira,Red,1
Iuri Alcantara,Michihiro Omigawa,Red,1
Ricardo Funch,Mike Pyle,Blue,0
Felipe Arantes,Antonio Carvalho,Red,1
Brock Lesnar,Alistair Overeem,Blue,0
Nate Diaz,Donald Cerrone,Red,1
Jon Fitch,Johny Hendricks,Blue,0
Vladimir Matyushenko,Alexander Gustafsson,Blue,0
Nam Phan,Jimy Hettes,Blue,0
Ross Pearson,Junior Assuncao,Red,1
Anthony Njokuani,Danny Castillo,Blue,0
Dong Hyun Kim,Sean Pierson,Red,1
Jacob Volkmann,Efrain Escudero,Red,1
Manvel Gamburyan,Diego Nunes,Blue,0
Jon Jones,Lyoto Machida,Red,1
Frank Mir,Antonio Rodrigo Nogueira,Red,1
Tito Ortiz,Rogerio Nogueira,Blue,0
Claude Patrick,Brian Ebersole,Blue,0
Mark Hominick,Chan Sung Jung,Blue,0
Krzysztof Soszynski,Igor Pokrajac,Blue,0
Jared Hamman,Constantinos Philippou,Blue,0
John Makdessi,Dennis Hallman,Blue,0
Walel Watson,Yves Jabouin,Blue,0
Mark Bocek,Nik Lentz,Red,1
Rich Attonito,Jake Hecht,Blue,0
Mitch Clarke,John Cholish,Blue,0
Michael Bisping,Jason Miller,Red,1
Diego Brandao,Dennis Bermudez,Red,1
TJ Dillashaw,John Dodson,Blue,0
Tony Ferguson,Yves Edwards,Red,1
Louis Gaudinot,Johnny Bedford,Blue,0
Marcus Brimage,Stephen Bass,Red,1
Dustin Pague,John Albert,Blue,0
Roland Delorme,Josh Ferguson,Red,1
Steven Siler,Josh Clopton,Red,1
Bryan Caraway,Dustin Neace,Red,1
Mauricio Rua,Dan Henderson,Blue,0
Wanderlei Silva,Cung Le,Red,1
Urijah Faber,Brian Bowles,Red,1
Rick Story,Martin Kampmann,Blue,0
Stephan Bonnar,Kyle Kingsbury,Red,1
Ryan Bader,Jason Brilz,Red,1
Michael McDonald,Alex Soto,Red,1
Tom Lawlor,Chris Weidman,Blue,0
Gleison Tibau,Rafael Dos Anjos,Red,1
Miguel Torres,Nick Pace,Red,1
Matt Brown,Seth Baczynski,Blue,0
Danny Castillo,Shamar Bailey,Red,1
Cain Velasquez,Junior Dos Santos,Blue,0
Clay Guida,Benson Henderson,Blue,0
Dustin Poirier,Pablo Garza,Red,1
Cub Swanson,Ricardo Lamas,Blue,0
DaMarques Johnson,Clay Harvison,Red,1
Norifumi Yamamoto,Darren Uyenoyama,Blue,0
Alex Caceres,Cole Escovedo,Red,1
Mike Pierce,Paul Bradley,Red,1
Aaron Rosa,Matt Lucas,Red,1
Chris Leben,Mark Munoz,Blue,0
Brad Pickett,Renan Barao,Blue,0
Thiago Alves,Papy Abedi,Red,1
Cyrille Diabate,Anthony Perosh,Blue,0
Terry Etim,Edward Faaloloto,Red,1
John Maguire,Justin Edwards,Red,1
Rob Broughton,Philip De Fries,Blue,0
Michihiro Omigawa,Jason Young,Red,1
Chris Cope,Che Mills,Blue,0
Chris Cariaso,Vaughan Lee,Red,1
BJ Penn,Nick Diaz,Blue,0
Cheick Kongo,Matt Mitrione,Red,1
Mirko Filipovic,Roy Nelson,Blue,0
Scott Jorgensen,Jeff Curran,Red,1
Hatsu Hioki,George Roop,Red,1
Dennis Siver,Donald Cerrone,Blue,0
Tyson Griffin,Bart Palaszewski,Blue,0
Brandon Vera,Eliot Marshall,Red,1
Ramsey Nijem,Danny Downes,Red,1
Chris Camozzi,Francis Carmont,Blue,0
Dustin Jacoby,Clifford Starks,Blue,0
Frankie Edgar,Gray Maynard,Red,1
Jose Aldo,Kenny Florian,Red,1
Chael Sonnen,Brian Stann,Red,1
Leonard Garcia,Nam Phan,Blue,0
Melvin Guillard,Joe Lauzon,Blue,0
Demian Maia,Jorge Santiago,Red,1
Anthony Pettis,Jeremy Stephens,Red,1
Joey Beltran,Stipe Miocic,Blue,0
Zhang Tiequan,Darren Elkins,Blue,0
Aaron Simpson,Eric Schafer,Red,1
Steve Cantwell,Mike Massenzio,Blue,0
Dominick Cruz,Demetrious Johnson,Red,1
Pat Barry,Stefan Struve,Blue,0
Anthony Johnson,Charlie Brenneman,Red,1
Matt Wiman,Mac Danzig,Red,1
Yves Edwards,Rafaello Oliveira,Red,1
Michael Johnson,Paul Sass,Blue,0
Mike Easton,Byron Bloodworth,Red,1
Shane Roller,TJ Grant,Blue,0
Josh Neer,Keith Wisniewski,Red,1
Walel Watson,Joseph Sandoval,Red,1
Jon Jones,Quinton Jackson,Red,1
Matt Hughes,Josh Koscheck,Blue,0
Ben Rothwell,Mark Hunt,Blue,0
Travis Browne,Rob Broughton,Red,1
Nate Diaz,Takanori Gomi,Red,1
Tony Ferguson,Aaron Riley,Red,1
Nick Ring,Tim Boetsch,Blue,0
Junior Assuncao,Eddie Yagin,Red,1
Takeya Mizugaki,Cole Escovedo,Red,1
James Te Huna,Ricardo Romero,Red,1
Jake Shields,Jake Ellenberger,Blue,0
Court McGee,Dongi Yang,Red,1
Jonathan Brookins,Erik Koch,Blue,0
Alan Belcher,Jason MacDonald,Red,1
Cody McKenzie,Vagner Rocha,Blue,0
Evan Dunham,Shamar Bailey,Red,1
Matthew Riddle,Lance Benoist,Blue,0
Ken Stone,Donny Walker,Red,1
Clay Harvison,Seth Baczynski,Blue,0
TJ Waldburger,Mike Stumpf,Red,1
Robert Peralta,Mike Lullo,Red,1
Justin Edwards,Jorge Lopez,Red,1
Anderson Silva,Yushin Okami,Red,1
Mauricio Rua,Forrest Griffin,Red,1
Ross Pearson,Edson Barboza,Blue,0
Antonio Rodrigo Nogueira,Brendan Schaub,Red,1
Luiz Cane,Stanislav Nedkov,Blue,0
Thiago Tavares,Spencer Fisher,Red,1
Rousimar Palhares,Dan Miller,Red,1
Paulo Thiago,David Mitchell,Red,1
Raphael Assuncao,Johnny Eduardo,Red,1
Erick Silva,Luis Ramos,Red,1
Iuri Alcantara,Felipe Arantes,Red,1
Yves Jabouin,Ian Loveland,Red,1
Dan Hardy,Chris Lytle,Blue,0
Jim Miller,Benson Henderson,Blue,0
Donald Cerrone,Charles Oliveira,Red,1
Amir Sadollah,Duane Ludwig,Blue,0
CB Dollaway,Jared Hamman,Blue,0
Joseph Benavidez,Eddie Wineland,Red,1
Ed Herman,Kyle Noke,Red,1
Ronny Markes,Karlos Vemola,Red,1
Jimy Hettes,Alex Caceres,Red,1
Cole Miller,TJ O'Brien,Red,1
Jacob Volkmann,Danny Castillo,Red,1
Edwin Figueroa,Jason Reinhardt,Red,1
Rashad Evans,Tito Ortiz,Red,1
Vitor Belfort,Yoshihiro Akiyama,Red,1
Dennis Hallman,Brian Ebersole,Blue,0
Jorge Rivera,Constantinos Philippou,Blue,0
Rory MacDonald,Mike Pyle,Red,1
Matt Hamill,Alexander Gustafsson,Blue,0
Chad Mendes,Rani Yahya,Red,1
Ivan Menjivar,Nick Pace,Red,1
Johny Hendricks,Mike Pierce,Red,1
Mike Brown,Nam Phan,Red,1
Rafael Natal,Paul Bradley,Red,1
Dominick Cruz,Urijah Faber,Red,1
Wanderlei Silva,Chris Leben,Blue,0
Dennis Siver,Matt Wiman,Red,1
Tito Ortiz,Ryan Bader,Red,1
Carlos Condit,Dong Hyun Kim,Red,1
Melvin Guillard,Shane Roller,Red,1
George Sotiropoulos,Rafael Dos Anjos,Blue,0
Brian Bowles,Takeya Mizugaki,Red,1
Brad Tavares,Aaron Simpson,Blue,0
Anthony Njokuani,Andre Winner,Red,1
Jeff Hougland,Donny Walker,Red,1
Cheick Kongo,Pat Barry,Red,1
Charlie Brenneman,Rick Story,Red,1
Matt Brown,John Howard,Red,1
Christian Morecraft,Matt Mitrione,Blue,0
Tyson Griffin,Manvel Gamburyan,Red,1
Joe Stevenson,Javier Vazquez,Blue,0
Joe Lauzon,Curt Warburton,Red,1
Daniel Roberts,Rich Attonito,Blue,0
Ricardo Lamas,Matt Grice,Red,1
Michael Johnson,Edward Faaloloto,Red,1
Shane Carwin,Junior Dos Santos,Blue,0
Kenny Florian,Diego Nunes,Red,1
Mark Munoz,Demian Maia,Red,1
Dave Herman,Jon Olav Einemo,Red,1
Vagner Rocha,Donald Cerrone,Blue,0
Yves Edwards,Sam Stout,Blue,0
Jesse Bongfeldt,Chris Weidman,Blue,0
Mike Massenzio,Krzysztof Soszynski,Blue,0
Nick Ring,James Head,Red,1
Dustin Poirier,Jason Young,Red,1
Joey Beltran,Aaron Rosa,Red,1
Darren Elkins,Michihiro Omigawa,Red,1
Ramsey Nijem,Tony Ferguson,Blue,0
Clay Guida,Anthony Pettis,Red,1
Ed Herman,Tim Credeur,Red,1
Fabio Maldonado,Kyle Kingsbury,Blue,0
Chuck O'Neil,Chris Cope,Blue,0
Danny Downes,Jeremy Stephens,Blue,0
Josh Grispi,George Roop,Blue,0
Ryan McGillivray,Shamar Bailey,Blue,0
Clay Harvison,Justin Edwards,Red,1
Scott Jorgensen,Ken Stone,Red,1
Reuben Duran,Francisco Rivera,Red,1
Quinton Jackson,Matt Hamill,Red,1
Frank Mir,Roy Nelson,Red,1
Stefan Struve,Travis Browne,Blue,0
Thiago Alves,Rick Story,Blue,0
Brian Stann,Jorge Santiago,Red,1
Miguel Torres,Demetrious Johnson,Blue,0
Kendall Grove,Tim Boetsch,Blue,0
Gleison Tibau,Rafaello Oliveira,Red,1
Michael McDonald,Chris Cariaso,Red,1
Cole Escovedo,Renan Barao,Blue,0
Georges St-Pierre,Jake Shields,Red,1
Jose Aldo,Mark Hominick,Red,1
Lyoto Machida,Randy Couture,Red,1
Vladimir Matyushenko,Jason Brilz,Red,1
Mark Bocek,Benson Henderson,Blue,0
Nate Diaz,Rory MacDonald,Blue,0
Jake Ellenberger,Sean Pierson,Red,1
Daniel Roberts,Claude Patrick,Blue,0
Ivan Menjivar,Charlie Valencia,Red,1
Jason MacDonald,Ryan Jensen,Red,1
John Makdessi,Kyle Watson,Red,1
Yves Jabouin,Pablo Garza,Blue,0
Phil Davis,Rogerio Nogueira,Red,1
Anthony Johnson,Dan Hardy,Red,1
DaMarques Johnson,Amir Sadollah,Blue,0
Chan Sung Jung,Leonard Garcia,Red,1
Jon Madsen,Mike Russow,Blue,0
Alex Caceres,Mackens Semerzier,Blue,0
John Hathaway,Kris McCray,Red,1
Michael McDonald,Edwin Figueroa,Red,1
Sean McCorkle,Christian Morecraft,Blue,0
Johny Hendricks,TJ Waldburger,Red,1
Mario Miranda,Aaron Simpson,Blue,0
Waylon Lowe,Nik Lentz,Blue,0
Mauricio Rua,Jon Jones,Blue,0
Urijah Faber,Eddie Wineland,Red,1
Jim Miller,Kamal Shalorus,Red,1
Dan Miller,Nate Marquardt,Blue,0
Mirko Filipovic,Brendan Schaub,Blue,0
Luiz Cane,Eliot Marshall,Red,1
Edson Barboza,Anthony Njokuani,Red,1
Ricardo Almeida,Mike Pyle,Blue,0
Kurt Pellegrino,Gleison Tibau,Blue,0
Joseph Benavidez,Ian Loveland,Red,1
Constantinos Philippou,Nick Catone,Blue,0
Erik Koch,Raphael Assuncao,Red,1
Diego Sanchez,Martin Kampmann,Red,1
CB Dollaway,Mark Munoz,Blue,0
Alessio Sakara,Chris Weidman,Blue,0
Brian Bowles,Damacio Page,Red,1
Steve Cantwell,Cyrille Diabate,Blue,0
Joe Stevenson,Danny Castillo,Blue,0
Thiago Tavares,Shane Roller,Blue,0
Takeya Mizugaki,Reuben Duran,Red,1
Rob Kimmons,Dongi Yang,Blue,0
David Branch,Rousimar Palhares,Blue,0
Igor Pokrajac,Todd Brown,Red,1
Michael Bisping,Jorge Rivera,Red,1
George Sotiropoulos,Dennis Siver,Blue,0
Brian Ebersole,Chris Lytle,Red,1
Chris Camozzi,Kyle Noke,Blue,0
Ross Pearson,Spencer Fisher,Red,1
Alexander Gustafsson,James Te Huna,Red,1
Nick Ring,Riki Fukuda,Red,1
Tom Blackledge,Anthony Perosh,Blue,0
Zhang Tiequan,Jason Reinhardt,Red,1
Mark Hunt,Chris Tuchscherer,Red,1
Maciej Jewtuszko,Curt Warburton,Blue,0
Anderson Silva,Vitor Belfort,Red,1
Forrest Griffin,Rich Franklin,Red,1
Jon Jones,Ryan Bader,Red,1
Jake Ellenberger,Carlos Eduardo Rocha,Red,1
Miguel Torres,Antonio Banuelos,Red,1
Donald Cerrone,Paul Kelly,Red,1
Chad Mendes,Michihiro Omigawa,Red,1
Norifumi Yamamoto,Demetrious Johnson,Blue,0
Paul Taylor,Gabe Ruediger,Red,1
Kyle Kingsbury,Ricardo Romero,Red,1
Mike Pierce,Kenny Robertson,Red,1
Melvin Guillard,Evan Dunham,Red,1
Matt Mitrione,Tim Hague,Red,1
Mark Hominick,George Roop,Red,1
Pat Barry,Joey Beltran,Red,1
Cole Miller,Matt Wiman,Blue,0
Cody McKenzie,Yves Edwards,Blue,0
DaMarques Johnson,Mike Guymon,Red,1
Rani Yahya,Mike Brown,Red,1
Waylon Lowe,Willamy Freire,Red,1
Charlie Brenneman,Amilcar Alves,Red,1
Will Campuzano,Chris Cariaso,Blue,0
Chris Leben,Brian Stann,Blue,0
Nate Diaz,Dong Hyun Kim,Blue,0
Clay Guida,Takanori Gomi,Red,1
Jeremy Stephens,Marcus Davis,Red,1
Dustin Poirier,Josh Grispi,Red,1
Phil Baroni,Brad Tavares,Blue,0
Mike Brown,Diego Nunes,Blue,0
Daniel Roberts,Greg Soto,Red,1
Jacob Volkmann,Antonio McKee,Red,1
Georges St-Pierre,Josh Koscheck,Red,1
Stefan Struve,Sean McCorkle,Red,1
Jim Miller,Charles Oliveira,Red,1
Joe Stevenson,Mac Danzig,Blue,0
Thiago Alves,John Howard,Red,1
Joe Doerksen,Dan Miller,Blue,0
Mark Bocek,Dustin Hazelett,Red,1
Matthew Riddle,Sean Pierson,Blue,0
TJ Grant,Ricardo Almeida,Blue,0
Pat Audinwood,John Makdessi,Blue,0
Jonathan Brookins,Michael Johnson,Red,1
Stephan Bonnar,Igor Pokrajac,Red,1
Kendall Grove,Demian Maia,Blue,0
Johny Hendricks,Rick Story,Blue,0
Nam Phan,Leonard Garcia,Blue,0
Cody McKenzie,Aaron Wilkinson,Red,1
Ian Loveland,Tyler Toner,Red,1
Sako Chivitchian,Kyle Watson,Blue,0
Will Campuzano,Nick Pace,Blue,0
Fredson Paixao,Pablo Garza,Blue,0
Rich Attonito,David Branch,Blue,0
Quinton Jackson,Lyoto Machida,Red,1
Matt Hughes,BJ Penn,Blue,0
Gerald Harris,Maiquel Falcao,Blue,0
Phil Davis,Tim Boetsch,Red,1
George Sotiropoulos,Joe Lauzon,Red,1
Matt Brown,Brian Foster,Blue,0
Aaron Simpson,Mark Munoz,Blue,0
Karo Parisyan,Dennis Hallman,Blue,0
Mike Lullo,Edson Barboza,Blue,0
Paul Kelly,TJ O'Brien,Red,1
Tyson Griffin,Nik Lentz,Blue,0
Nate Marquardt,Yushin Okami,Blue,0
Dennis Siver,Andre Winner,Red,1
Amir Sadollah,Peter Sobotta,Red,1
Krzysztof Soszynski,Goran Reljic,Red,1
Duane Ludwig,Nick Osipczak,Red,1
Vladimir Matyushenko,Alexandre Ferreira,Red,1
Pascal Krauss,Mark Scanlon,Red,1
Kyle Noke,Rob Kimmons,Red,1
Seth Petruzelli,Karlos Vemola,Blue,0
Kris McCray,Carlos Eduardo Rocha,Blue,0
Brock Lesnar,Cain Velasquez,Blue,0
Jake Shields,Martin Kampmann,Red,1
Diego Sanchez,Paulo Thiago,Red,1
Tito Ortiz,Matt Hamill,Blue,0
Brendan Schaub,Gabriel Gonzaga,Red,1
Court McGee,Ryan Jensen,Red,1
Patrick Cote,Tom Lawlor,Blue,0
Mike Guymon,Daniel Roberts,Blue,0
Sam Stout,Paul Taylor,Red,1
Chris Camozzi,Dongi Yang,Red,1
Jon Madsen,Gilbert Yvel,Red,1
Michael Bisping,Yoshihiro Akiyama,Red,1
Dan Hardy,Carlos Condit,Blue,0
John Hathaway,Mike Pyle,Blue,0
James Wilks,Claude Patrick,Blue,0
Cyrille Diabate,Alexander Gustafsson,Blue,0
Rob Broughton,Vinicius Queiroz,Red,1
Paul Sass,Mark Holst,Red,1
Spencer Fisher,Curt Warburton,Red,1
James McSweeney,Fabio Maldonado,Blue,0
Frank Mir,Mirko Filipovic,Red,1
Rogerio Nogueira,Ryan Bader,Blue,0
Matt Serra,Chris Lytle,Blue,0
Sean Sherk,Evan Dunham,Red,1
Melvin Guillard,Jeremy Stephens,Red,1
CB Dollaway,Joe Doerksen,Red,1
Matt Mitrione,Joey Beltran,Red,1
Thiago Tavares,Pat Audinwood,Red,1
Steve Lopez,Waylon Lowe,Blue,0
TJ Grant,Julio Paulino,Red,1
Mark Hunt,Sean McCorkle,Blue,0
Nate Marquardt,Rousimar Palhares,Red,1
Efrain Escudero,Charles Oliveira,Blue,0
Jim Miller,Gleison Tibau,Red,1
Cole Miller,Ross Pearson,Red,1
Yves Edwards,John Gunderson,Red,1
Jared Hamman,Kyle Kingsbury,Blue,0
Tomasz Drwal,David Branch,Blue,0
Rich Attonito,Rafael Natal,Red,1
TJ Waldburger,David Mitchell,Red,1
Brian Foster,Forrest Petz,Red,1
Frankie Edgar,BJ Penn,Red,1
Randy Couture,James Toney,Red,1
Demian Maia,Mario Miranda,Red,1
Kenny Florian,Gray Maynard,Blue,0
Nate Diaz,Marcus Davis,Red,1
Joe Lauzon,Gabe Ruediger,Red,1
Andre Winner,Nik Lentz,Blue,0
Dan Miller,John Salter,Red,1
Nick Osipczak,Greg Soto,Blue,0
Mike Pierce,Amilcar Alves,Red,1
Anderson Silva,Chael Sonnen,Red,1
Jon Fitch,Thiago Alves,Red,1
Clay Guida,Rafael Dos Anjos,Red,1
Matt Hughes,Ricardo Almeida,Red,1
Roy Nelson,Junior Dos Santos,Blue,0
Dustin Hazelett,Rick Story,Blue,0
Rodney Wallace,Phil Davis,Blue,0
Johny Hendricks,Charlie Brenneman,Red,1
Todd Brown,Tim Boetsch,Blue,0
Stefan Struve,Christian Morecraft,Red,1
Ben Saunders,Dennis Hallman,Blue,0
Jon Jones,Vladimir Matyushenko,Red,1
Mark Munoz,Yushin Okami,Blue,0
John Howard,Jake Ellenberger,Blue,0
Tyson Griffin,Takanori Gomi,Blue,0
Paul Kelly,Jacob Volkmann,Blue,0
DaMarques Johnson,Matthew Riddle,Blue,0
James Irvin,Igor Pokrajac,Blue,0
Brian Stann,Mike Massenzio,Red,1
Darren Elkins,Charles Oliveira,Blue,0
Rob Kimmons,Steve Steinbeiss,Red,1
Brock Lesnar,Shane Carwin,Red,1
Chris Leben,Yoshihiro Akiyama,Red,1
Chris Lytle,Matt Brown,Red,1
Krzysztof Soszynski,Stephan Bonnar,Blue,0
George Sotiropoulos,Kurt Pellegrino,Red,1
Brendan Schaub,Chris Tuchscherer,Red,1
Seth Petruzelli,Ricardo Romero,Blue,0
Kendall Grove,Goran Reljic,Red,1
Gerald Harris,David Branch,Red,1
Forrest Petz,Daniel Roberts,Blue,0
Jon Madsen,Karlos Vemola,Red,1
Court McGee,Kris McCray,Red,1
Keith Jardine,Matt Hamill,Blue,0
Chris Leben,Aaron Simpson,Red,1
Spencer Fisher,Dennis Siver,Blue,0
Jamie Yager,Rich Attonito,Blue,0
John Gunderson,Mark Holst,Red,1
Brad Tavares,Seth Baczynski,Red,1
Josh Bryant,Kyle Noke,Blue,0
Chris Camozzi,James Hammortree,Red,1
James McSweeney,Travis Browne,Blue,0
Chuck Liddell,Rich Franklin,Blue,0
Mirko Filipovic,Pat Barry,Red,1
Paulo Thiago,Martin Kampmann,Blue,0
Ben Rothwell,Gilbert Yvel,Red,1
Carlos Condit,Rory MacDonald,Red,1
Tyson Griffin,Evan Dunham,Blue,0
Mac Danzig,Matt Wiman,Blue,0
David Loiseau,Mario Miranda,Blue,0
James Wilks,Peter Sobotta,Red,1
Ricardo Funch,Claude Patrick,Blue,0
Mike Pyle,Jesse Lennox,Red,1
Quinton Jackson,Rashad Evans,Blue,0
Michael Bisping,Dan Miller,Red,1
Todd Duffee,Mike Russow,Blue,0
Jason Brilz,Rogerio Nogueira,Blue,0
Diego Sanchez,John Hathaway,Blue,0
Amir Sadollah,Dong Hyun Kim,Blue,0
Efrain Escudero,Dan Lauzon,Red,1
Melvin Guillard,Waylon Lowe,Red,1
Luiz Cane,Cyrille Diabate,Blue,0
Aaron Riley,Joe Brammer,Red,1
Jesse Forbes,Ryan Jensen,Blue,0
Lyoto Machida,Mauricio Rua,Blue,0
Josh Koscheck,Paul Daley,Red,1
Sam Stout,Jeremy Stephens,Blue,0
Kevin Ferguson,Matt Mitrione,Blue,0
Patrick Cote,Alan Belcher,Blue,0
Tom Lawlor,Joe Doerksen,Blue,0
Marcus Davis,Jonathan Goulet,Red,1
TJ Grant,Johny Hendricks,Blue,0
Joey Beltran,Tim Hague,Red,1
Yoshiyuki Yoshida,Mike Guymon,Blue,0
Jason MacDonald,John Salter,Blue,0
Anderson Silva,Demian Maia,Red,1
BJ Penn,Frankie Edgar,Blue,0
Matt Hughes,Renzo Gracie,Red,1
Terry Etim,Rafael Dos Anjos,Blue,0
Kendall Grove,Mark Munoz,Blue,0
Alexander Gustafsson,Phil Davis,Blue,0
Nick Osipczak,Rick Story,Blue,0
DaMarques Johnson,Brad Blackburn,Red,1
Paul Kelly,Matt Veach,Red,1
Jon Madsen,Mostapha Al-Turk,Red,1
Kenny Florian,Takanori Gomi,Red,1
Roy Nelson,Stefan Struve,Red,1
Nate Quarry,Jorge Rivera,Blue,0
Ross Pearson,Dennis Siver,Red,1
Andre Winner,Rafaello Oliveira,Red,1
Jacob Volkmann,Ronys Torres,Red,1
Rob Emerson,Nik Lentz,Blue,0
Caol Uno,Gleison Tibau,Blue,0
Yushin Okami,Lucio Linhares,Red,1
Gerald Harris,Mario Miranda,Red,1
Charlie Brenneman,Jason High,Red,1
Georges St-Pierre,Dan Hardy,Red,1
Frank Mir,Shane Carwin,Blue,0
Kurt Pellegrino,Fabricio Camoes,Red,1
Ben Saunders,Jon Fitch,Blue,0
Jim Miller,Mark Bocek,Red,1
Nate Diaz,Rory Markham,Red,1
Ricardo Almeida,Matt Brown,Red,1
Rousimar Palhares,Tomasz Drwal,Red,1
Rodney Wallace,Jared Hamman,Blue,0
Matthew Riddle,Greg Soto,Red,1
Brandon Vera,Jon Jones,Blue,0
Junior Dos Santos,Gabriel Gonzaga,Red,1
Cheick Kongo,Paul Buentello,Red,1
Alessio Sakara,James Irvin,Red,1
Clay Guida,Shannon Gugerty,Red,1
